time,open,high,low,close
1675173600,23120,23187,23060,23127
1675177200,23129,23198,23081,23124
1675180800,23128,23215,23087,23111
1675184400,23110,23181,23089,23153
1675188000,23157,23185,23121,23171
1675191600,23170,23184,23094,23169
1675195200,23169,23172,23057,23101
1675198800,23087,23121,22823,22949
1675202400,22953,23318,22881,23180
1675206000,23180,23182,23092,23127
1675209600,23134,23167,23007,23084
1675213200,23094,23174,23060,23125
1675216800,23124,23124,23082,23104
1675220400,23109,23126,23044,23122
1675224000,23131,23157,23116,23139
1675227600,23137,23164,23115,23123
1675231200,23123,23131,23058,23066
1675234800,23059,23116,23024,23079
1675238400,23069,23087,22949,22984
1675242000,22984,23019,22927,22996
1675245600,22998,23013,22950,22999
1675249200,22999,23095,22993,23080
1675252800,23082,23104,23051,23057
1675256400,23054,23134,23026,23084
1675260000,23084,23140,23043,23102
1675263600,23107,23107,22950,22986
1675267200,22984,23036,22924,23005
1675270800,23002,23038,22939,22993
1675274400,22992,23119,22949,23068
1675278000,23068,23498,22768,23392
1675281600,23392,23648,23330,23567
1675285200,23579,23799,23540,23687
1675288800,23687,23810,23662,23719
1675292400,23725,23790,23689,23735
1675296000,23736,24258,23703,24190
1675299600,24199,24210,23959,23961
1675303200,23962,23993,23845,23887
1675306800,23891,23938,23856,23856
1675310400,23861,23914,23845,23888
1675314000,23893,23926,23800,23809
1675317600,23811,23834,23672,23795
1675321200,23795,23836,23749,23789
1675324800,23790,23856,23777,23807
1675328400,23806,23840,23759,23838
1675332000,23841,23841,23780,23786
1675335600,23787,23856,23781,23829
1675339200,23827,23835,23770,23805
1675342800,23805,23815,23713,23767
1675346400,23760,23942,23540,23615
1675350000,23608,23926,23560,23847
1675353600,23847,23903,23779,23793
1675357200,23793,23936,23787,23900
1675360800,23899,24141,23897,24061
1675364400,24065,24071,23738,23809
1675368000,23800,23858,23757,23858
1675371600,23871,23919,23420,23454
1675375200,23454,23614,23377,23562
1675378800,23562,23600,23433,23498
1675382400,23503,23585,23446,23560
1675386000,23559,23591,23531,23560
1675389600,23560,23585,23424,23489
1675393200,23483,23537,23420,23531
1675396800,23543,23563,23513,23518
1675400400,23519,23553,23507,23529
1675404000,23527,23556,23514,23519
1675407600,23519,23548,23450,23452
1675411200,23458,23473,23329,23424
1675414800,23425,23447,23399,23424
1675418400,23421,23443,23360,23436
1675422000,23436,23540,23422,23539
1675425600,23540,23568,23491,23529
1675429200,23528,23547,23250,23347
1675432800,23341,23595,23237,23518
1675436400,23521,23706,23422,23608
1675440000,23614,23719,23524,23524
1675443600,23524,23662,23512,23512
1675447200,23509,23526,23376,23420
1675450800,23419,23440,23307,23309
1675454400,23307,23399,23212,23337
1675458000,23339,23397,23307,23384
1675461600,23386,23444,23385,23426
1675465200,23426,23473,23410,23434
1675468800,23421,23460,23389,23411
1675472400,23412,23445,23377,23382
1675476000,23377,23402,23355,23391
